Pantheon,Name,Title,Function,Territory,Sex,Character,Interests,Symbolism,Color,Values,Status,Mother,Father,Lover,Children
Scottish/Irish,Aengus,God,God of Love and Youth,Ireland,Male,Romantic and Youthful,"Love, Youth","Swans, Harp","White, Gold","Love, Youth",,The Dagda,Boann,,
Sicilian,Aetna,God,Goddess of Mount Etna,Sicily,Female,Fiery and Volcanic,"Mount Etna, volcanic activity","Volcano, fire",Red,"Transformation, power",,,,,
Tuareg,Agadez,Anthropomorphism,Sacred city and spiritual center,Desert,Other,Holy and Sacred,"Spiritual pilgrimage, trade",Mosque,Varied,"Spiritual center, pilgrimage",,,,,
Sao,Aganju,God,"God of volcanoes, fire, and transformation",Earth,Male,Fiery and Transformative,"Volcanoes, fire, transformation",Volcano,Red and Orange,"Transformation, creative destruction",,Orunmila,Olokun,,Various volcanic and transformative deities
Berber,Agharas,God,God of craftsmanship and artisans,Workshops,Male,Skilled and Creative,"Craftsmanship, artisans",Hammer,Brown,"Skill, creativity, craftsmanship",,,,,Various craft and artisan deities
Cherokee,Aguguq (Raven Mocker),Spirit,Malevolent Spirit and Stealer of Souls,Cherokee Nation,Male,Malevolent Spirit,"Death, Soul Stealing","Raven, Death Symbols",Black,"Caution, Fear of Death",,,,,
Inuit,Aguguqutsi,God,Sun God,Inuit Regions,Other,Deity,Sun,Sun,,Sun God,,,,,
Vodou,Agwe,God,God of the Sea and Navigation,"Haiti, New Orleans",Male,"Sea God, Protector of Sailors","Sea, Navigation, Wealth","Ship, Anchor, Blue Cloth","Blue, White","Sea, Navigation, Prosperity",Married,Bondye,Erzulie Freda,La Sirene,"Many, including Ghede"
Maya,Ah Puch,God,God of Death,Mesoamerica,Male,Death-bringer and Macabre,"Death, Underworld","Skull, Crossbones",Black,"Death, Underworld",,,,,
Sami,Ahkio,Spirit,Spirit of the Wilderness,Sami Lands,Other,Elusive and Wild,"Wilderness, Untamed","Trees, Animals","Green, Brown","Wilderness, Freedom",,,,,Spirits of the wilderness
Finnish,Ahti,God,God of Water,Finland,Male,God,"Water, Fishing","Fish, Waves",Blue,God of Water,,Ahtola,,,
Persian,Ahura Mazda,God,"Supreme God, Creator of the Universe",Persia,Male,Wise and Benevolent,"Creation, Wisdom, Truth",Winged Sun Disk,Gold,"Wisdom, Truth, Creation",,,,,Amesha Spentas
Zoroastrian,Ahura Mazda,God,Supreme god,-,Male,Deity,"Truth, order",-,-,"Truth, Order",-,-,-,-,Various deities
Scottish/Irish,Aillen,Anthropomorphism,Fire-breathing Fae who Attacks Tara,Tara (Ireland),Male,Destructive and Cunning,"Fire, Destruction","Fire, Flames","Red, Black","Fire, Destruction",,,,,
Scottish/Irish,Aine,God,"Goddess of Love, Summer, and Sovereignty",Ireland,Female,Radiant and Sovereign,"Love, Summer","Sun, Horse","Gold, Green","Love, Summer",,Egobail,,,
Sardinian,Aiora,God,Goddess of Winds,Sardinia,Female,Gentle and Unpredictable,"Winds, change",Wind,Blue,"Change, adaptability",,,,,
Scottish/Irish,Airmid,God,Goddess of Healing and Herbcraft,Ireland,Female,Healing and Herbalism,"Healing, Herbcraft","Herbs, Healing Tools",Green,"Healing, Herbcraft",,Dian Cecht,,,
Yoruba,Aja,Spirit,Orisha,Yoruba Region,Female,Orisha,"Forest, Animals",Antelope,Green,"Nature, Life",,,,,
Yoruba,Ajalamo,Spirit,Spirit,Yoruba Region,Other,Spirit,Thunderstorms,Thunderbolt,,Power,,,,,
Siberian,Ajysyt,God,Goddess of Birth and Rebirth,Siberia,Female,Compassionate and Renewing,"Birth, Renewal","Lotus, Crescent Moon",Silver,"Rebirth, Compassion",,,,,"Many, including Yar Umai"
Siberian,Ak Ana,God,"White Mother, Goddess of Fertility",Siberia,Female,Maternal and Protective,"Fertility, Motherhood",White Swan,White,"Fertility, Maternity",,Num-Torum,Num-Torum,,"Many, including Yar Umai"
Berber,Akal,God,Goddess of sustenance and nourishment,Agriculture,Female,Nurturing and Abundant,"Agriculture, nourishment",Sheaf of wheat,Green,"Abundance, sustenance, fertility",,,,,Various agricultural deities
Egyptian,Akhenaten,Human,Pharaoh,Egypt,Male,Historical,Monotheism,Sun Disk,Gold,Monotheism,Married,Tiye,Amenhotep III,Nefertiti,Akhenaten Jr.
Inuit,Akna,God,Goddess of Fertility and Motherhood,Arctic Regions,Female,Maternal and Protective,"Fertility, Motherhood",Child in Arms,"White, Blue","Motherhood, Nurturing",,,,,"Many, including child spirits"
Sara,Akuna,Spirit,"Hawk spirit, messenger of the spirits",Sara homeland,Female,Swift and Observant,"Communication, vision",Hawk,Brown,"Communication, foresight",,,,,
Inuit,Akycha,Spirit,Spirit of Thunder and Lightning,Arctic Regions,Male,Powerful and Electrifying,"Thunder, Lightning",Thunderbolt,"Blue, White","Power, Illumination",,,,,
Igbo,Ala,God,Goddess of the earth,Earth,Female,Nurturing and Protective,"Earth, fertility","Sheaf of wheat, plough","Green, brown","Fertility, abundance",,,,,
Arab,Allah,God,Supreme Deity,Cosmic,Other,Creator of the Universe,"Creation, Sustenance, Judgment, Mercy",Divine Light,Gold,"Compassion, Justice",,,,,
Arab,Al-Lat,God,Goddess of Fertility,Arabian Peninsula,Female,Motherly and Fertile,"Fertility, Motherhood, Protection",Sphere,Red,"Fertility, Nurturing",,,,,
Arab,Al-Qaum,God,God of Mountains and Hills,Arabian Peninsula,Male,Strong and Steadfast,"Mountains, Hills, Strength",Mountain Peaks,Brown,"Strength, Stability",,,,,
Arab,Al-Uzza,God,Goddess of Love and Beauty,Arabian Peninsula,Female,Protective and Beautiful,"Love, Beauty, Protection",Stylized Weapon,White,"Love, Beauty, Courage",,,,,
Igbo,Amadioha,God,God of thunder and lightning,Sky,Male,Thunderous and Fierce,"Thunder, lightning","Double-headed axe, thunderbolt","Red, white","Power, justice",,,,,
Berber,Amanikabar,God,God of time and destiny,Universe,Male,Wise and Farsighted,"Time, destiny",Hourglass,Silver,"Fate, destiny, cyclical time",,,,,Various cosmic beings
Inuit,Amarok,God,God of Wolves and the Hunt,Arctic Regions,Male,Cunning and Agile,"Wolves, Hunting",Wolf,"Grey, Brown","Hunting Skills, Cooperation",,,,,"Many, including wolf spirits"
Japanese,Amaterasu,God,"Sun Goddess, Ruler of the Heavens",Japan,Female,Radiant and Benevolent,"Sunlight, Leadership","Sun Disk, Mirror",Gold,"Light, Leadership",,Izanagi,Izanami,,"Many, including Hoderi"
Shinto,Amaterasu,God,"Sun goddess, associated with light and fertility",Japan,Female,Deity,"Sun, Light, Fertility","Sun Disk, Mirror",Red,"Light, Fertility",-,Izanagi,Izanagi,-,"Many, including Hoderi"
Shinto,Ame-no-Minakanushi,God,Primordial deity in Japanese mythology,Japan,Other,Cosmic Origin,"Origin, Unity, Divine Essence",,,"Cosmic Unity, Divine Essence, Creation",,,,,Various Deities
Tuareg,Amghar,Spirit,Spiritual leader and wise elder,Desert,Other,Wise and Guiding,Spiritual leadership,Turban,Blue and White,"Wisdom, guidance",,,,,
Arab,Amir,God,God of Leadership,Arabian Peninsula,Male,Wise and Authoritative,"Leadership, Wisdom",Crown,Gold,"Leadership, Wisdom",,,,,
Berber,Amun,God,Supreme god and creator of the universe,Universe,Male,Wise and Omnipotent,"Creation, order",Solar disk,Gold,"Creation, order, divine justice",,,,,Various cosmic beings
Tuareg,Amunet,God,Fertility Goddess,Desert,Female,Fertile and Nurturing,"Fertility, femininity",Female figurine,Green and Brown,"Fertility, femininity, nurturing",,,,,
Sumerian,An,God,"Sky Father, Supreme Deity",Sumer,Male,"Creator, Wise","Creation, Wisdom","Horned Crown, Heaven",Sky Blue,"Creation, Wisdom, Justice",,Antum,,,"Enlil, Enki, Inanna"
Armenian,Anahit,God,Goddess of Wisdom,Armenian Regions,Female,Goddess,"Wisdom, War","Dove, Sword",Red,"Wisdom, War",,,,,
Persian,Anahita,God,"Goddess of Water, Fertility, and Wisdom",Persia,Female,Nurturing and Wise,"Water, Fertility, Wisdom","Water, Dove",Silver,"Fertility, Wisdom, Love",,Daevas,Ahura Mazda,,
Zoroastrian,Anahita,God,Goddess of water,-,Female,Deity,"Water, fertility, healing",-,-,"Water, fertility, healing",-,-,-,-,Various deities
Caribbean,Anansi,Spirit,Trickster and Spider Spirit,Various Caribbean Isles,Male,"Trickster, Storyteller","Stories, Trickery, Wisdom","Spider, Web",Black,"Wisdom, Cunning",,,,,
Akan ,Anansi,God,"Trickster god, associated with wisdom and storytelling",West Africa,Male,Deity,"Wisdom, Storytelling",Spider,-,"Wisdom, Cleverness",-,-,-,-,Various deities
Phoenician,Anat,God,Goddess of war and hunting,Sky,Female,Warrior and Hunter,"War, hunting","Spear, bow","Red, brown","War, hunting",,,,,"Many, including Baal"
Canaanite,Anat,God,Goddess of war,-,Female,Deity,"War, hunting, fertility",Spear,-,"War, hunting, fertility",-,"El, Asherah",-,Baal,Various deities
Ugaritic,Anath,God,Goddess of War,Ugaritic Regions,Female,Goddess,"War, Love","Spear, Shield",Red,"War, Love",,,,,
Persian,Angra Mainyu,God,"God of Darkness, Evil, and Destruction",Persia,Male,Destructive and Chaotic,"Darkness, Destruction",Serpent,Black,"Chaos, Destruction",,,,,
Scottish/Irish,Angus Og,God,"God of Love and Youth, Son of the Dagda",Ireland,Male,Youthful and Romantic,"Love, Youth","Harp, Birds","White, Gold","Love, Youth",,The Dagda,Boann,,
Inuit,Anguta,God,God of Death,Inuit Regions,Male,God,"Death, Underworld",Bone,,"Death, Underworld",,,,,
Tupinambá,Anhã,God,Moon Goddess and Protector of the Hunt,Tupinambá Region,Female,Lunar Deity,"Moon, Night, Hunting","Crescent Moon, Hunting Symbols",Silver,"Hunting Skills, Night Protection",,,,,
Tupinambá,Anhangá,Spirit,Evil Spirit and Bringer of Nightmares,Tupinambá Region,Male,Malevolent Spirit,"Nightmares, Fear, Malevolence","Dark, Ominous Symbols","Black, Red","Fear, Caution",,,,,
Inuit,Aningan,God,Moon God,Inuit Regions,Male,God,Moon,Moon,White,Moon,,,,,
Breton,Ankou,Spirit,Death Spirit,Brittany,Male,Death Spirit,"Death, Guiding Souls","Scythe, Skeletal Icons",Black,Guiding Souls,,,,,
Sumerian,Anshar,God,Sky,Sumer,Male,God,Sky,,,Sky,,,,,
Assyrian,Antum,God,Goddess of Creation,Assyria,Female,Goddess of Creation,"Creation, Motherhood",Spindle,Earth Tone,"Creation, Motherhood",,Lahmu,Lahamu,,"Many, including Enlil"
Assyrian,Anu,God,God of the Sky,Assyria,Male,Sky God,"Sky, Heaven, Divine Authority",Celestial Bull,Sky Blue,Divine Authority,,Lahmu,Lahamu,,"Many, including Enlil"
Mesopotamian,Anu,God,God of the Sky,Mesopotamia,Male,Sky Father,"Sky, Kingship",Horned Crown,Sky Blue,"Kingship, Divine Order",,,,,"Enlil, Enki, Ninhursag, Ninurta, Nanna"
Sumerian,Anu,God,King of the gods,Sky,Male,Deity,Sky,-,-,Associated with the sky,-,Anshar,Kishar,-,Various deities
Egyptian,Anubis,God,God of mummification,Duat (Underworld),Male,Judge of the dead,"Magic and healing,","Spear, harp","Gold, black","Magic, healing",Married,Hathor,Ra,"The Dagda, Boann,","Many, including Bodb Derg, Aengus"
Polynesian,Ao,God,Personification of daylight,Sky,Other,Radiant and Illuminating,"Daylight, clarity",Sun disc,Yellow,"Enlightenment, clarity",,,,,Various daylight-related beings
Guaraní,Ao Ao,God,Serpent Deity of Waters and Aquatic Life,Guaraní Region,Other,Serpent Spirit,"Waters, Aquatic Life, Guardian",Serpent Symbols,Blue,"River Protection, Aquatic Harmony",,,,,
Inuit,Apanuugak,God,God of the Moon,Arctic Regions,Male,Mysterious and Illuminating,Moon,Crescent Moon,Silver,"Mystery, Illumination",,,,,"Many, including moon spirits"
Greek,Aphrodite,God,"Love, beauty",Mount Olympus,Female,"Alluring, romantic","Love, beauty",Scallop shell,Pink,"Love, beauty",Married,,,"Hephaestus, Ares","Eros, Phobos, Deimos, Harmonia"
Greek,Apollo,God,God of music and prophecy,Olympus,Male,Musical and prophetic,Music and prophecy,"Lyre, laurel wreath","Gold, silver, green","Art, music, prophecy",Married,Leto,Zeus,"Daphne, Kyrene","Orpheus, Aristaeus"
Roman,Apollo,God,God of the Sun and Arts,Rome,Male,Radiant and Artistic,"Sun, arts",Lyre,Gold,"Sun, arts",Married,Jupiter,Latona,Daphne,"Asclepius, Orpheus"
Shawnee,Apush,Spirit,Old Man,Shawnee Nation,Male,Spirit,Wisdom,Old Man,,Wisdom,,,,,
Germanic,Arafel,Spirit,Spirit of the Air,Germanic,Other,Spirit of the Air,"Air, Atmosphere",,,"Air, Atmosphere",,,,,
Hindu,Ardhanarishvara,God,"Composite deity, half male and half female",India,Other,Androgynous Deity,"Unity, Balance, Dual Nature","Half-Male, Half-Female",Varied,"Balance, Unity, Dual Nature",,Shiva,Shakti,,Various Deities
Persian,Ardvahista,God,Goddess of Justice and Righteousness,Persia,Female,Just and Righteous,"Justice, Righteousness",Scales,Blue,"Justice, Righteousness",,,,,
Zoroastrian,Aredvi Sura Anahita,God,Variation of Anahita,-,Female,Deity,"Fertility, water, wisdom",-,-,"Fertility, water, wisdom",-,-,-,-,Various deities
Greek,Ares,God,"War, violence",Mount Olympus,Male,"Aggressive, impulsive","War, violence",Spear,Red,"Courage, strength",Married,,Hera,Aphrodite,"Eros, Phobos, Deimos, Harmonia"
Inuit,Arnakuagsak,God,Goddess of the Sun and Daylight,Arctic Regions,Female,Bright and Radiant,"Sun, Daylight",Sun Disk,Yellow,"Light, Warmth",,,,,"Many, including daylight spirits"
Greek,Artemis,God,"Goddess of the hunt, Goddess of Wilderness, Hunting and Childbirth",Olympus,Female,"Independent and fierce,","Hunting and wilderness,","Bow, quiver, deer, moon","Silver, gold, white,","Independence, nature,",Married,Leto,Zeus,"Orion, Adonis","Many, including Eileithyia,"
Achuar,Arutam,Spirit,Protective Spirit and Ancestral Guide,Amazon Rainforest,Other,Protective Spirit,"Protection, Ancestral Guidance",Various Symbols,Various,"Protection, Ancestral Connection",,,,,
Sumerian,Asalluhi,God,Healing,Sumer,Male,God,Healing,,,Healing,,,,,
Akan,Asase Yaa,God,Goddess of the earth,Earth,Female,Nurturing and Abundant,"Earth, fertility","Sheaf of wheat, plough","Green, brown","Fertility, abundance",,,,,
Greek,Asclepius,God,God of Medicine and Healing,Epidaurus,Male,Compassionate and Skilled,"Healing, medicine",Rod of Asclepius,White,"Healing, medicine, wellness",Married,Apollo,Coronis,Epione,"Hygeia, Panacea"
Persian,Asha,God,Goddess of Truth and Righteousness,Persian,Female,Truth Goddess,"Truth, Righteousness",,White,"Truth, Righteousness",,Anahita,Ahura Mazda,,
Zoroastrian,Asha Vahishta,Anthropomorphism,Personification of Truth and Order,-,-,Deity,"Truth, Order",-,-,"Truth, Order",-,-,-,-,Various deities
Canaanite,Asherah,God,Mother goddess,-,Female,Deity,"Fertility, life",Tree of life,-,Fertility and life,-,-,-,-,Various deities
Berber,Ashiye,God,Goddess of poetry and eloquence,Poetry,Female,Poetic and Articulate,"Poetry, eloquence",Quill,Purple,"Artistic expression, inspiration",,,,,Various poetic and artistic deities
Assyrian,Ashur,God,"Chief God, National Deity",Assyria,Male,Supreme Ruler,"Empire, Warfare, Protection",Winged Sun Disk,"Blue, Gold","Empire, Protection",,Lahmu,Lahamu,,Various deities
Assyrian,Ashur-nasir-pal II,Human,King of Assyria,Assyria,Male,Warrior King,"Expansion, Military Conquests","Winged Disc, Royal Insignia","Blue, Gold","Military Success, Leadership",,Sammuramat,Tukulti-Ninurta I,,Shalmaneser III
Phoenician,Astarte,God,Goddess of Love and War,Sky,Female,Passionate and Warlike,"Love, war","Star, dove","Red, white","Passion, war",,"El, Asherah",,,"Many, including Eshmun"
Canaanite,Astarte,God,Goddess of love,-,Female,Deity,"Love, sexuality, war",Star,-,"Love, sexuality, war",-,"El, Asherah",-,-,Various deities
Armenian,Astghik,God,Goddess of Love,Armenian Regions,Female,Goddess,"Love, Beauty","Star, Flower",,"Love, Beauty",,,,,
Spanish,Ataecina,God,Goddess of the Underworld,Hispania,Female,Mysterious and Deathly,"Underworld, Death","Torch, Black Dog","Black, Grey","Underworld, Death",,,,,
Persian,Atar,God,God of Fire,Persian,Male,Fire God,"Fire, Purification","Fire, Altar",Red,"Purification, Sacred Fire",,Anahita,Ahura Mazda,,
Zoroastrian,Atar (Atarash),God,God of fire,-,Male,Deity,"Fire, purification, sacred rituals",Fire,-,"Fire, purification, sacred rituals",-,-,-,-,Various deities
Arab,Atarsamain,God,God of the Morning Star,Pre-Islamic Arabia,Male,Morning Star and Guide,"Morning Star, Guidance",Morning Star Symbol,Yellow,"Guidance, Illumination",,,,,
Egyptian,Aten,God,Solar Disk Deity,Egypt,Other,Deity,Sun,Solar Disk,Gold,"Light, Life",,Nut,Geb,,"Shu, Tefnut"
Greek,Athena,God,Goddess of wisdom,Mount Olympus,Female,Wise and strategic,Wisdom and warfare,"Owl, olive tree","Olive green, gray","Wisdom, strategy",,Metis,Zeus,,
Canaanite,Athirat (Ashratum),God,Mother goddess,-,Female,Deity,Consort of El,-,-,Consort of El,-,-,El,-,Various deities
Roman,Aurora,God,Goddess of Dawn,Italy,Female,Radiant and Renewing,"Dawn, renewal",Sunrise,Pink and Gold,"Renewal, new beginnings",,,,,
Buddhist,Avalokiteshvara,God,Bodhisattva of compassion and mercy,,Male,Compassionate and Merciful,"Compassion, mercy","Lotus flower, jewel",White,"Compassion, mercy",,,,,
Arab,Awal,God,God of Time,South Arabia,Male,Timekeeper and Wise,"Time, Wisdom",Hourglass,Blue,"Time, Wisdom",,,,,
Turkish,Ay Ata,God,Moon God,Turkish regions,Male,Mysterious and Tranquil,"Moon, Night","Moon, Night",Silver,Mystery,Married,,,Gök Tanrı,Gün Ana
Vodou,Ayida Wedo,God,Rainbow Serpent Loa,"Haiti, New Orleans",Female,Rainbow Serpent,"Rainbows, Fertility","Rainbow, White Cloth",White,"Fertility, Blessings",Married,Bondye,Damballah Wedo,Damballah Wedo,
Algonquin,Azeban,Spirit,Trickster,Algonquin Regions,Male,Spirit,Trickery,Raccoon,,Trickery,,,,,
Arab,Aziz,God,God of Strength and Honor,South Arabia,Male,Mighty and Honorable,"Strength, Honor",Sword,Red,"Strength, Honor",,,,,
Jewish,Azrael,Spirit,Angel of Death,Heaven,Male,Guide of Souls,"Death, Comfort, Transition",Black Robes,Black,"Comfort, Transition",,,,,
Vietnamese,Bà Chúa Xứ,God,Local Tutelary Deity,Specific Locations,Female,Protective and Local,"Local Area, Protection","Altar, Offerings",Varies,Local Protection,,,,,
Phoenician,Baal,God,God of Storms and Fertility,Sky,Male,Stormy and Fertile,"Storms, fertility","Thunderbolt, bull","Blue, brown","Power, fertility",,,,,"Many, including Anat"
Canaanite,Baal,God,Storm god,-,Male,Deity,"Storm, rain, fertility",Thunderbolt,-,Rain and fertility,-,"El, Asherah",-,Anat,Various deities
Spanish,Baal Hammon,God,God of Fertility and Weather,Carthage,Male,Fertile and Stormy,"Fertility, Weather","Bull, Thunderbolt","Red, Gold","Fertility, Weather",,Elissa (Dido),El (Cronus),,
Canaanite,Ba'alat Gebal,God,Goddess of Byblos,Byblos,Female,Deity,Protection,-,-,Protection,-,-,-,-,-
Yoruba,Babalu,God,God of Healing,Yoruba lands,Male,"Healer, Merciful","Healing, Mercy",Medicinal Herbs,Yellow,"Healing, Mercy",,Yemoja,Olorun,,
Yoruba,Babalu Aye,God,God of Health,Yoruba Region,Male,God,"Health, Disease",Crutches,Yellow,Health,,Yemoja,Orunmila,,
Egyptian,Babi,God,"Baboon deity, associated with virility",Egypt,Male,Baboon Deity,"Virility, Fertility, Strength",Baboon,Brown,"Virility, Fertility, Strength",,,,,Various Offspring
Roman,Bacchus,God,God of Wine and Revelry,Rome,Male,Joyful and Festive,"Wine, revelry",Grape Cluster,Purple,"Wine, celebration",Married,Jupiter,Semele,Ariadne,
Muisca,Bachué,God,Earth Goddess and Mother of Humanity,Altiplano Cundiboyacense,Female,Maternal Earth Deity,"Fertility, Humanity","Fertile Earth, Cornucopia","Green, Brown","Fertility, Maternity",,,Bochica,,Humans
Korean,Baekho,Anthropomorphism,"White Tiger, Guardian of the West",West,Male,Powerful and Courageous,"Protection, Courage",Tiger Stripes,White,"Protection, Courage",,,,,
Chinese,Bai Ze,Anthropomorphism,"Mythical Creature, Guide to Strange Beings",Earth,Other,Knowledgeable and Informative,"Strange Beings, Mythology",Lion-Like Creature,Yellow,"Knowledge, Mythology",,,,,
Aboriginal,Baiame,God,"Sky Father, Creator of humanity","Sky, Earth",Male,Wise and Creator,"Creation, guidance","Sun, sky",Blue,"Creation, guidance, wisdom",Married,,,Birrahlee,"Daramulum, Daramulum's wife"
Aboriginal,Baiame's daughters,Spirit,"Various daughters of Baiame, associated with celestial bodies",Sky,Other,Varied,Varied,Celestial bodies,Various,Varied,,,Baiame,,Various celestial beings
Aboriginal,Baiame's sons,Spirit,"Various sons of Baiame, associated with stars",Sky,Other,Varied,Varied,Stars,Various,Varied,,,Baiame,,Various celestial beings
Aboriginal,Baiame's wives,Spirit,"Various wives of Baiame, associated with celestial bodies",Sky,Other,Varied,Varied,Celestial bodies,Various,Varied,,,Baiame,,Various celestial beings
Aboriginal,Baiya,Anthropomorphism,Moon and protector of women,Sky,Female,Protective and Nurturing,Women's well-being,Moon,White,"Protection, fertility",,,,,"Various, including human women"
Norse,Baldr,God,God of Light and Purity,Asgard,Male,Pure and Radiant,"Light, Purity","Sun, White Flowers","White, Gold","Light, Purity",Married,Frigg,Odin,Nanna,Forseti
Scottish/Irish,Balor,God,Fomorian King with a Destructive Eye,Ireland,Male,Monstrous and Destructive,"Destruction, Evil Eye","Evil Eye, Club",Not specified,"Destruction, Evil Eye",Married,,,Cethlenn,"Ethlinn, Bres, Cian"
Spanish,Bandua,God,God of War and Trade,Gallaecia,Male,Warlike and Commercial,"War, Trade","Spear, Merchandise","Red, Gold","War, Trade",,,,,
Egyptian,Banebdjedet,God,"Ram god, associated with fertility",Egypt,Male,Ram Deity,"Fertility, Potency, Virility","Ram, Fertility Tools",Varied,"Fertility, Virility, Potency",,Hathor,,,Harpocrates (Son)
Caribbean,Baron Samedi,God,Loa of the Dead,Haiti,Male,Lord of the Dead,"Death, Ancestors, Spirits","Top Hat, Crossed Bones",Black,"Death, Ancestral Connection",Married,Maman Brigitte,Baron (possible),Maman Brigitte,Ghede (possible)
Indonesian,Barong,Spirit,"Protector Spirit, Symbol of Goodness",Bali,Male,Benevolent and Powerful,"Goodness, Protection","Lion Head, Sacred Mask",White,"Goodness, Protection",,,,,
Egyptian,Bastet,God,Goddess of Home and Protection,Egypt,Female,Protective and Graceful,"Home, protection",Lioness,Green,"Home, protection, joy",,Isis,Ra,,
Indonesian,Batara Guru,God,"Supreme God, Ruler of the Universe","Sky, Universe",Male,Wise and Supreme,"Creation, Rulership","Crown, Universe",Multicolored,"Wisdom, Order",,,,,
Sami,Beaivi,God,Sun Goddess,Sami Lands,Female,Bright and Warm,"Sun, Light",Sun Disk,"Yellow, Red","Light, Warmth",,,,,"Many, including daylight spirits"
Albanian,Begu,Spirit,Spirit,Albanian Regions,Other,Spirit,"Ancestry, Guardian",Ancestor Symbols,,"Ancestry, Guardian",,,,,
Sumerian,Bel,God,Lord,Sumer,Male,God,Lord,,,Lord,,,,,
Spanish,Belenus,God,Sun God,Celtiberia,Male,Radiant and Life-giving,"Sun, Life","Sun, Wheel","Gold, Yellow","Sun, Life",,,,,
Sumerian,Belet-ili,God,Fertility,Sumer,Female,Goddess,Fertility,,,Fertility,,,,,
Slavic,Belobog,God,God of Light,Slavic Regions,Male,God,"Light, Goodness","Sun, Light",White,Goodness,,,,,
Shinto,Benzaiten,God,"Goddess of wisdom, art, and literature",,Female,Wise and Artistic,"Wisdom, art, literature","Biwa (lute), serpent","White, red","Wisdom, artistic expression",,,,,"Many, including Ugajin"
Indonesian,Bhatara Kala,God,God of Time and Transformation,Cosmic Realm,Male,Transformative and Eternal,"Time, Change","Clock, Time Symbols",Black,"Transformation, Eternal",,,,,
Akan,Bia,God,God of war and aggression,,Male,Aggressive and Fearless,"War, aggression","Sword, shield","Red, black","Strength, courage",,,,,
Sami,Bieggolmai,God,God of the Hunt,Sami Lands,Male,Skilled and Resourceful,Hunting,"Reindeer, Bow and Arrow","Brown, Green","Hunting Skills, Nature",,,,,"Many, including animal spirits"
Mongolian,Black Old Man,God,God of Earth and Agriculture,Earth,Male,Nurturing and Fertile,"Earth, Agriculture","Black Soil, Plough",Black,"Fertility, Agriculture",,Gazar Eej,,,
Muisca,Bochica,God,Creator God and Giver of Wisdom,Altiplano Cundiboyacense,Male,Wise Creator,"Wisdom, Agriculture, Justice","Beard, Staff, Wise Appearance","White, Gold","Wisdom, Justice",,,,,
Muisca,Bochica's Companions,God,Deities,Muisca Confederation,Male,Deities,"Nature, Guardianship",Nature Symbols,,"Nature, Guardianship",,,,,
Kayapo,Bodo,God,Sky God,Kayapo Territories,Male,God,"Sky, Weather","Sky, Clouds",Blue,"Sky, Weather",,,,,
Amazonian Tribes,Boiúna,God,Serpent Deity of Rivers and Waters,Amazon Rainforest,Other,Serpent Spirit,"Rivers, Waters, Guardian","Serpent, Water Symbols",Green,"River Protection, Natural Balance",,,,,
Albanian,Bolla,God,Serpent or Dragon-like,Albania,Female,Protective and Vengeful,"Water, Rain, Agriculture","Serpent, Water",Blue,"Fertility, Protection",,,,,
Bontok,Bolongon,Spirit,Guardian Spirit,Bontok Region,Other,Spirit,"Nature, Guardian",Guardian Symbols,,"Nature, Guardian",,,,,
Vodou,Bondye,God,"Supreme Deity, Creator of the Universe","Haiti, New Orleans",Male,"Supreme Creator, Distant","Creation, Divine Providence",,White,Divine Providence,,,,,Loa (Vodou Spirits)
