Pantheon,Name,Title,Function,Territory,Sex,Character,Interests,Symbolism,Color,Values,Status,Mother,Father,Lover,Children,Name-Greek,Name-Greek
tuareg,agadez,anthropomorphism,sacred city and spiritual center,desert,other,holy and sacred,"spiritual pilgrimage, trade",mosque,varied,"spiritual center, pilgrimage",,,,,,,
sao,aganju,god,"god of volcanoes, fire, and transformation",earth,male,fiery and transformative,"volcanoes, fire, transformation",volcano,red and orange,"transformation, creative destruction",,orunmila,olokun,,various volcanic and transformative deities,,
berber,agharas,god,god of craftsmanship and artisans,workshops,male,skilled and creative,"craftsmanship, artisans",hammer,brown,"skill, creativity, craftsmanship",,,,,various craft and artisan deities,,
cherokee,aguguq (raven mocker),spirit,malevolent spirit and stealer of souls,cherokee nation,other,malevolent spirit,"death, soul stealing","raven, death symbols",black,"caution, fear of death",,,,,,,
inuit,aguguqutsi,god,sun god,inuit regions,male,deity,sun,sun,,sun god,,,,,,,
vodou,agwe,god,god of the sea and navigation,"haiti, new orleans",male,"sea god, protector of sailors","sea, navigation, wealth","ship, anchor, blue cloth","blue, white","sea, navigation, prosperity",married,bondye,erzulie freda,la sirene,"many, including ghede",,
maya,ah puch,god,god of death,mesoamerica,male,death-bringer and macabre,"death, underworld","skull, crossbones",black,"death, underworld",,,,,,,
sami,ahkio,spirit,spirit of the wilderness,sami lands,other,elusive and wild,"wilderness, untamed","trees, animals","green, brown","wilderness, freedom",,,,,spirits of the wilderness,,
finnish,ahti,god,god of water,finland,male,god,"water, fishing","fish, waves",blue,god of water,,ahtola,,,,,
persian,ahura mazda,god,"supreme god, creator of the universe",persia,male,wise and benevolent,"creation, wisdom, truth",winged sun disk,gold,"wisdom, truth, creation",,,,,amesha spentas,,
zoroastrian,ahura mazda,god,supreme god,-,male,deity,"truth, order",-,-,"truth, order",-,-,-,-,various deities,,
scottish/irish,aillen,anthropomorphism,fire-breathing fae who attacks tara,tara (ireland),other,destructive and cunning,"fire, destruction","fire, flames","red, black","fire, destruction",,,,,,,
scottish/irish,aine,god,"goddess of love, summer, and sovereignty",ireland,female,radiant and sovereign,"love, summer","sun, horse","gold, green","love, summer",,egobail,,,,,
sardinian,aiora,god,goddess of winds,sardinia,female,gentle and unpredictable,"winds, change",wind,blue,"change, adaptability",,,,,,,
scottish/irish,airmid,god,goddess of healing and herbcraft,ireland,female,healing and herbalism,"healing, herbcraft","herbs, healing tools",green,"healing, herbcraft",,dian cecht,,,,,
yoruba,aja,spirit,orisha,yoruba region,other,orisha,"forest, animals",antelope,green,"nature, life",,,,,,,
yoruba,ajalamo,spirit,spirit,yoruba region,other,spirit,thunderstorms,thunderbolt,,power,,,,,,,
siberian,ajysyt,god,goddess of birth and rebirth,siberia,female,compassionate and renewing,"birth, renewal","lotus, crescent moon",silver,"rebirth, compassion",,,,,"many, including yar umai",,
siberian,ak ana,god,"white mother, goddess of fertility",siberia,female,maternal and protective,"fertility, motherhood",white swan,white,"fertility, maternity",,num-torum,num-torum,,"many, including yar umai",,
berber,akal,god,goddess of sustenance and nourishment,agriculture,female,nurturing and abundant,"agriculture, nourishment",sheaf of wheat,green,"abundance, sustenance, fertility",,,,,various agricultural deities,,
egyptian,akhenaten,human,pharaoh,egypt,other,historical,monotheism,sun disk,gold,monotheism,married,tiye,amenhotep iii,nefertiti,akhenaten jr.,,
inuit,akna,god,goddess of fertility and motherhood,arctic regions,female,maternal and protective,"fertility, motherhood",child in arms,"white, blue","motherhood, nurturing",,,,,"many, including child spirits",,
sara,akuna,spirit,"hawk spirit, messenger of the spirits",sara homeland,other,swift and observant,"communication, vision",hawk,brown,"communication, foresight",,,,,,,
inuit,akycha,spirit,spirit of thunder and lightning,arctic regions,other,powerful and electrifying,"thunder, lightning",thunderbolt,"blue, white","power, illumination",,,,,,,
igbo,ala,god,goddess of the earth,earth,female,nurturing and protective,"earth, fertility","sheaf of wheat, plough","green, brown","fertility, abundance",,,,,,,
arab,allah,god,supreme deity,cosmic,other,creator of the universe,"creation, sustenance, judgment, mercy",divine light,gold,"compassion, justice",,,,,,,
arab,al-lat,god,goddess of fertility,arabian peninsula,female,motherly and fertile,"fertility, motherhood, protection",sphere,red,"fertility, nurturing",,,,,,,
arab,al-qaum,god,god of mountains and hills,arabian peninsula,male,strong and steadfast,"mountains, hills, strength",mountain peaks,brown,"strength, stability",,,,,,,
arab,al-uzza,god,goddess of love and beauty,arabian peninsula,female,protective and beautiful,"love, beauty, protection",stylized weapon,white,"love, beauty, courage",,,,,,,
igbo,amadioha,god,god of thunder and lightning,sky,male,thunderous and fierce,"thunder, lightning","double-headed axe, thunderbolt","red, white","power, justice",,,,,,,
berber,amanikabar,god,god of time and destiny,universe,male,wise and farsighted,"time, destiny",hourglass,silver,"fate, destiny, cyclical time",,,,,various cosmic beings,,
inuit,amarok,god,god of wolves and the hunt,arctic regions,male,cunning and agile,"wolves, hunting",wolf,"grey, brown","hunting skills, cooperation",,,,,"many, including wolf spirits",,
japanese,amaterasu,god,"sun goddess, ruler of the heavens",japan,female,radiant and benevolent,"sunlight, leadership","sun disk, mirror",gold,"light, leadership",,izanagi,izanami,,"many, including hoderi",,
shinto,amaterasu,god,"sun goddess, associated with light and fertility",japan,female,deity,"sun, light, fertility","sun disk, mirror",red,"light, fertility",-,izanagi,izanagi,-,"many, including hoderi",,
shinto,ame-no-minakanushi,god,primordial deity in japanese mythology,japan,other,cosmic origin,"origin, unity, divine essence",,,"cosmic unity, divine essence, creation",,,,,various deities,,
tuareg,amghar,spirit,spiritual leader and wise elder,desert,other,wise and guiding,spiritual leadership,turban,blue and white,"wisdom, guidance",,,,,,,
arab,amir,god,god of leadership,arabian peninsula,male,wise and authoritative,"leadership, wisdom",crown,gold,"leadership, wisdom",,,,,,,
berber,amun,god,supreme god and creator of the universe,universe,male,wise and omnipotent,"creation, order",solar disk,gold,"creation, order, divine justice",,,,,various cosmic beings,,
tuareg,amunet,god,fertility goddess,desert,female,fertile and nurturing,"fertility, femininity",female figurine,green and brown,"fertility, femininity, nurturing",,,,,,,
sumerian,an,god,"sky father, supreme deity",sumer,other,"creator, wise","creation, wisdom","horned crown, heaven",sky blue,"creation, wisdom, justice",,antum,,,"enlil, enki, inanna",,
armenian,anahit,god,goddess of wisdom,armenian regions,female,goddess,"wisdom, war","dove, sword",red,"wisdom, war",,,,,,,
persian,anahita,god,"goddess of water, fertility, and wisdom",persia,female,nurturing and wise,"water, fertility, wisdom","water, dove",silver,"fertility, wisdom, love",,daevas,ahura mazda,,,,
zoroastrian,anahita,god,goddess of water,-,female,deity,"water, fertility, healing",-,-,"water, fertility, healing",-,-,-,-,various deities,,
caribbean,anansi,spirit,trickster and spider spirit,various caribbean isles,other,"trickster, storyteller","stories, trickery, wisdom","spider, web",black,"wisdom, cunning",,,,,,,
akan ,anansi,god,"trickster god, associated with wisdom and storytelling",west africa,male,deity,"wisdom, storytelling",spider,-,"wisdom, cleverness",-,-,-,-,various deities,,
phoenician,anat,god,goddess of war and hunting,sky,female,warrior and hunter,"war, hunting","spear, bow","red, brown","war, hunting",,,,,"many, including baal",,
canaanite,anat,god,goddess of war,-,female,deity,"war, hunting, fertility",spear,-,"war, hunting, fertility",-,"el, asherah",-,baal,various deities,,
ugaritic,anath,god,goddess of war,ugaritic regions,female,goddess,"war, love","spear, shield",red,"war, love",,,,,,,
persian,angra mainyu,god,"god of darkness, evil, and destruction",persia,male,destructive and chaotic,"darkness, destruction",serpent,black,"chaos, destruction",,,,,,,
scottish/irish,angus og,god,"god of love and youth, son of the dagda",ireland,male,youthful and romantic,"love, youth","harp, birds","white, gold","love, youth",,the dagda,boann,,,,
inuit,anguta,god,god of death,inuit regions,male,god,"death, underworld",bone,,"death, underworld",,,,,,,
tupinambá,anhã,god,moon goddess and protector of the hunt,tupinambá region,female,lunar deity,"moon, night, hunting","crescent moon, hunting symbols",silver,"hunting skills, night protection",,,,,,,
tupinambá,anhangá,spirit,evil spirit and bringer of nightmares,tupinambá region,other,malevolent spirit,"nightmares, fear, malevolence","dark, ominous symbols","black, red","fear, caution",,,,,,,
inuit,aningan,god,moon god,inuit regions,male,god,moon,moon,white,moon,,,,,,,
breton,ankou,spirit,death spirit,brittany,other,death spirit,"death, guiding souls","scythe, skeletal icons",black,guiding souls,,,,,,,
sumerian,anshar,god,sky,sumer,other,god,sky,,,sky,,,,,,,
assyrian,antum,god,goddess of creation,assyria,female,goddess of creation,"creation, motherhood",spindle,earth tone,"creation, motherhood",,lahmu,lahamu,,"many, including enlil",,
assyrian,anu,god,god of the sky,assyria,male,sky god,"sky, heaven, divine authority",celestial bull,sky blue,divine authority,,lahmu,lahamu,,"many, including enlil",,
mesopotamian,anu,god,god of the sky,mesopotamia,male,sky father,"sky, kingship",horned crown,sky blue,"kingship, divine order",,,,,"enlil, enki, ninhursag, ninurta, nanna",,
sumerian,anu,god,king of the gods,sky,male,deity,sky,-,-,associated with the sky,-,anshar,kishar,-,various deities,,
egyptian,anubis,god,god of mummification,duat (underworld),male,judge of the dead,"magic and healing,","spear, harp","gold, black","magic, healing",married,hathor,ra,"the dagda, boann,","many, including bodb derg, aengus",,
polynesian,ao,god,personification of daylight,sky,other,radiant and illuminating,"daylight, clarity",sun disc,yellow,"enlightenment, clarity",,,,,various daylight-related beings,,
guaraní,ao ao,god,serpent deity of waters and aquatic life,guaraní region,other,serpent spirit,"waters, aquatic life, guardian",serpent symbols,blue,"river protection, aquatic harmony",,,,,,,
inuit,apanuugak,god,god of the moon,arctic regions,male,mysterious and illuminating,moon,crescent moon,silver,"mystery, illumination",,,,,"many, including moon spirits",,
greek,aphrodite,god,"love, beauty",mount olympus,other,"alluring, romantic","love, beauty",scallop shell,pink,"love, beauty",married,,,"hephaestus, ares","eros, phobos, deimos, harmonia",,
greek,apollo,god,god of music and prophecy,olympus,male,musical and prophetic,music and prophecy,"lyre, laurel wreath","gold, silver, green","art, music, prophecy",married,leto,zeus,"daphne, kyrene","orpheus, aristaeus",,
roman,apollo,god,god of the sun and arts,rome,male,radiant and artistic,"sun, arts",lyre,gold,"sun, arts",married,jupiter,latona,daphne,"asclepius, orpheus",,
shawnee,apush,spirit,old man,shawnee nation,male,spirit,wisdom,old man,,wisdom,,,,,,,
germanic,arafel,spirit,spirit of the air,germanic,other,spirit of the air,"air, atmosphere",,,"air, atmosphere",,,,,,,
hindu,ardhanarishvara,god,"composite deity, half male and half female",india,other,androgynous deity,"unity, balance, dual nature","half-male, half-female",varied,"balance, unity, dual nature",,shiva,shakti,,various deities,,
persian,ardvahista,god,goddess of justice and righteousness,persia,female,just and righteous,"justice, righteousness",scales,blue,"justice, righteousness",,,,,,,
zoroastrian,aredvi sura anahita,god,variation of anahita,-,other,deity,"fertility, water, wisdom",-,-,"fertility, water, wisdom",-,-,-,-,various deities,,
greek,ares,god,"war, violence",mount olympus,other,"aggressive, impulsive","war, violence",spear,red,"courage, strength",married,,hera,aphrodite,"eros, phobos, deimos, harmonia",,
inuit,arnakuagsak,god,goddess of the sun and daylight,arctic regions,female,bright and radiant,"sun, daylight",sun disk,yellow,"light, warmth",,,,,"many, including daylight spirits",,
greek,artemis,god,"goddess of the hunt, goddess of wilderness, hunting and childbirth",olympus,female,"independent and fierce,","hunting and wilderness,","bow, quiver, deer, moon","silver, gold, white,","independence, nature,",married,leto,zeus,"orion, adonis","many, including eileithyia,",,
achuar,arutam,spirit,protective spirit and ancestral guide,amazon rainforest,other,protective spirit,"protection, ancestral guidance",various symbols,various,"protection, ancestral connection",,,,,,,
sumerian,asalluhi,god,healing,sumer,other,god,healing,,,healing,,,,,,,
akan,asase yaa,god,goddess of the earth,earth,female,nurturing and abundant,"earth, fertility","sheaf of wheat, plough","green, brown","fertility, abundance",,,,,,,
greek,asclepius,god,god of medicine and healing,epidaurus,male,compassionate and skilled,"healing, medicine",rod of asclepius,white,"healing, medicine, wellness",married,apollo,coronis,epione,"hygeia, panacea",,
persian,asha,god,goddess of truth and righteousness,persian,female,truth goddess,"truth, righteousness",,white,"truth, righteousness",,anahita,ahura mazda,,,,
zoroastrian,asha vahishta,anthropomorphism,personification of truth and order,-,other,deity,"truth, order",-,-,"truth, order",-,-,-,-,various deities,,
canaanite,asherah,god,mother goddess,-,female,deity,"fertility, life",tree of life,-,fertility and life,-,-,-,-,various deities,,
berber,ashiye,god,goddess of poetry and eloquence,poetry,female,poetic and articulate,"poetry, eloquence",quill,purple,"artistic expression, inspiration",,,,,various poetic and artistic deities,,
assyrian,ashur,god,"chief god, national deity",assyria,male,supreme ruler,"empire, warfare, protection",winged sun disk,"blue, gold","empire, protection",,lahmu,lahamu,,various deities,,
assyrian,ashur-nasir-pal ii,human,king of assyria,assyria,other,warrior king,"expansion, military conquests","winged disc, royal insignia","blue, gold","military success, leadership",,sammuramat,tukulti-ninurta i,,shalmaneser iii,,
phoenician,astarte,god,goddess of love and war,sky,female,passionate and warlike,"love, war","star, dove","red, white","passion, war",,"el, asherah",,,"many, including eshmun",,
canaanite,astarte,god,goddess of love,-,female,deity,"love, sexuality, war",star,-,"love, sexuality, war",-,"el, asherah",-,-,various deities,,
armenian,astghik,god,goddess of love,armenian regions,female,goddess,"love, beauty","star, flower",,"love, beauty",,,,,,,
spanish,ataecina,god,goddess of the underworld,hispania,female,mysterious and deathly,"underworld, death","torch, black dog","black, grey","underworld, death",,,,,,,
persian,atar,god,god of fire,persian,male,fire god,"fire, purification","fire, altar",red,"purification, sacred fire",,anahita,ahura mazda,,,,
zoroastrian,atar (atarash),god,god of fire,-,male,deity,"fire, purification, sacred rituals",fire,-,"fire, purification, sacred rituals",-,-,-,-,various deities,,
arab,atarsamain,god,god of the morning star,pre-islamic arabia,male,morning star and guide,"morning star, guidance",morning star symbol,yellow,"guidance, illumination",,,,,,,
egyptian,aten,god,solar disk deity,egypt,other,deity,sun,solar disk,gold,"light, life",,nut,geb,,"shu, tefnut",,
greek,athena,god,goddess of wisdom,mount olympus,female,wise and strategic,wisdom and warfare,"owl, olive tree","olive green, gray","wisdom, strategy",,metis,zeus,,,,
canaanite,athirat (ashratum),god,mother goddess,-,female,deity,consort of el,-,-,consort of el,-,-,el,-,various deities,,
roman,aurora,god,goddess of dawn,italy,female,radiant and renewing,"dawn, renewal",sunrise,pink and gold,"renewal, new beginnings",,,,,,,
buddhist,avalokiteshvara,god,bodhisattva of compassion and mercy,,other,compassionate and merciful,"compassion, mercy","lotus flower, jewel",white,"compassion, mercy",,,,,,,
arab,awal,god,god of time,south arabia,male,timekeeper and wise,"time, wisdom",hourglass,blue,"time, wisdom",,,,,,,
turkish,ay ata,god,moon god,turkish regions,male,mysterious and tranquil,"moon, night","moon, night",silver,mystery,married,,,gök tanrı,gün ana,,
vodou,ayida wedo,god,rainbow serpent loa,"haiti, new orleans",other,rainbow serpent,"rainbows, fertility","rainbow, white cloth",white,"fertility, blessings",married,bondye,damballah wedo,damballah wedo,,,
algonquin,azeban,spirit,trickster,algonquin regions,other,spirit,trickery,raccoon,,trickery,,,,,,,
arab,aziz,god,god of strength and honor,south arabia,male,mighty and honorable,"strength, honor",sword,red,"strength, honor",,,,,,,
jewish,azrael,spirit,angel of death,heaven,other,guide of souls,"death, comfort, transition",black robes,black,"comfort, transition",,,,,,,
vietnamese,bà chúa xứ,god,local tutelary deity,specific locations,other,protective and local,"local area, protection","altar, offerings",varies,local protection,,,,,,,
phoenician,baal,god,god of storms and fertility,sky,male,stormy and fertile,"storms, fertility","thunderbolt, bull","blue, brown","power, fertility",,,,,"many, including anat",,
canaanite,baal,god,storm god,-,male,deity,"storm, rain, fertility",thunderbolt,-,rain and fertility,-,"el, asherah",-,anat,various deities,,
spanish,baal hammon,god,god of fertility and weather,carthage,male,fertile and stormy,"fertility, weather","bull, thunderbolt","red, gold","fertility, weather",,elissa (dido),el (cronus),,,,
canaanite,ba'alat gebal,god,goddess of byblos,byblos,female,deity,protection,-,-,protection,-,-,-,-,-,,
yoruba,babalu,god,god of healing,yoruba lands,male,"healer, merciful","healing, mercy",medicinal herbs,yellow,"healing, mercy",,yemoja,olorun,,,,
yoruba,babalu aye,god,god of health,yoruba region,male,god,"health, disease",crutches,yellow,health,,yemoja,orunmila,,,,
egyptian,babi,god,"baboon deity, associated with virility",egypt,other,baboon deity,"virility, fertility, strength",baboon,brown,"virility, fertility, strength",,,,,various offspring,,
roman,bacchus,god,god of wine and revelry,rome,male,joyful and festive,"wine, revelry",grape cluster,purple,"wine, celebration",married,jupiter,semele,ariadne,,,
muisca,bachué,god,earth goddess and mother of humanity,altiplano cundiboyacense,female,maternal earth deity,"fertility, humanity","fertile earth, cornucopia","green, brown","fertility, maternity",,,bochica,,humans,,
korean,baekho,anthropomorphism,"white tiger, guardian of the west",west,other,powerful and courageous,"protection, courage",tiger stripes,white,"protection, courage",,,,,,,
chinese,bai ze,anthropomorphism,"mythical creature, guide to strange beings",earth,other,knowledgeable and informative,"strange beings, mythology",lion-like creature,yellow,"knowledge, mythology",,,,,,,
aboriginal,baiame,god,"sky father, creator of humanity","sky, earth",male,wise and creator,"creation, guidance","sun, sky",blue,"creation, guidance, wisdom",married,,,birrahlee,"daramulum, daramulum's wife",,
aboriginal,baiame's daughters,spirit,"various daughters of baiame, associated with celestial bodies",sky,other,varied,varied,celestial bodies,various,varied,,,baiame,,various celestial beings,,
aboriginal,baiame's sons,spirit,"various sons of baiame, associated with stars",sky,other,varied,varied,stars,various,varied,,,baiame,,various celestial beings,,
aboriginal,baiame's wives,spirit,"various wives of baiame, associated with celestial bodies",sky,other,varied,varied,celestial bodies,various,varied,,,baiame,,various celestial beings,,
aboriginal,baiya,anthropomorphism,moon and protector of women,sky,other,protective and nurturing,women's well-being,moon,white,"protection, fertility",,,,,"various, including human women",,
norse,baldr,god,god of light and purity,asgard,male,pure and radiant,"light, purity","sun, white flowers","white, gold","light, purity",married,frigg,odin,nanna,forseti,,
scottish/irish,balor,god,fomorian king with a destructive eye,ireland,other,monstrous and destructive,"destruction, evil eye","evil eye, club",not specified,"destruction, evil eye",married,,,cethlenn,"ethlinn, bres, cian",,
spanish,bandua,god,god of war and trade,gallaecia,male,warlike and commercial,"war, trade","spear, merchandise","red, gold","war, trade",,,,,,,
egyptian,banebdjedet,god,"ram god, associated with fertility",egypt,male,ram deity,"fertility, potency, virility","ram, fertility tools",varied,"fertility, virility, potency",,hathor,,,harpocrates (son),,
caribbean,baron samedi,god,loa of the dead,haiti,other,lord of the dead,"death, ancestors, spirits","top hat, crossed bones",black,"death, ancestral connection",married,maman brigitte,baron (possible),maman brigitte,ghede (possible),,
indonesian,barong,spirit,"protector spirit, symbol of goodness",bali,other,benevolent and powerful,"goodness, protection","lion head, sacred mask",white,"goodness, protection",,,,,,,
egyptian,bastet,god,goddess of home and protection,egypt,female,protective and graceful,"home, protection",lioness,green,"home, protection, joy",,isis,ra,,,,
indonesian,batara guru,god,"supreme god, ruler of the universe","sky, universe",male,wise and supreme,"creation, rulership","crown, universe",multicolored,"wisdom, order",,,,,,,
sami,beaivi,god,sun goddess,sami lands,female,bright and warm,"sun, light",sun disk,"yellow, red","light, warmth",,,,,"many, including daylight spirits",,
albanian,begu,spirit,spirit,albanian regions,other,spirit,"ancestry, guardian",ancestor symbols,,"ancestry, guardian",,,,,,,
sumerian,bel,god,lord,sumer,other,god,lord,,,lord,,,,,,,
spanish,belenus,god,sun god,celtiberia,male,radiant and life-giving,"sun, life","sun, wheel","gold, yellow","sun, life",,,,,,,
sumerian,belet-ili,god,fertility,sumer,other,goddess,fertility,,,fertility,,,,,,,
slavic,belobog,god,god of light,slavic regions,male,god,"light, goodness","sun, light",white,goodness,,,,,,,
shinto,benzaiten,god,"goddess of wisdom, art, and literature",,female,wise and artistic,"wisdom, art, literature","biwa (lute), serpent","white, red","wisdom, artistic expression",,,,,"many, including ugajin",,
indonesian,bhatara kala,god,god of time and transformation,cosmic realm,male,transformative and eternal,"time, change","clock, time symbols",black,"transformation, eternal",,,,,,,
akan,bia,god,god of war and aggression,,male,aggressive and fearless,"war, aggression","sword, shield","red, black","strength, courage",,,,,,,
sami,bieggolmai,god,god of the hunt,sami lands,male,skilled and resourceful,hunting,"reindeer, bow and arrow","brown, green","hunting skills, nature",,,,,"many, including animal spirits",,
mongolian,black old man,god,god of earth and agriculture,earth,male,nurturing and fertile,"earth, agriculture","black soil, plough",black,"fertility, agriculture",,gazar eej,,,,,
muisca,bochica,god,creator god and giver of wisdom,altiplano cundiboyacense,male,wise creator,"wisdom, agriculture, justice","beard, staff, wise appearance","white, gold","wisdom, justice",,,,,,,
muisca,bochica's companions,god,deities,muisca confederation,other,deities,"nature, guardianship",nature symbols,,"nature, guardianship",,,,,,,
kayapo,bodo,god,sky god,kayapo territories,male,god,"sky, weather","sky, clouds",blue,"sky, weather",,,,,,,
amazonian tribes,boiúna,god,serpent deity of rivers and waters,amazon rainforest,other,serpent spirit,"rivers, waters, guardian","serpent, water symbols",green,"river protection, natural balance",,,,,,,
albanian,bolla,god,serpent or dragon-like,albania,other,protective and vengeful,"water, rain, agriculture","serpent, water",blue,"fertility, protection",,,,,,,
bontok,bolongon,spirit,guardian spirit,bontok region,other,spirit,"nature, guardian",guardian symbols,,"nature, guardian",,,,,,,
vodou,bondye,god,"supreme deity, creator of the universe","haiti, new orleans",other,"supreme creator, distant","creation, divine providence",,white,divine providence,,,,,loa (vodou spirits),,
ligurian,bormanus,god,god of hot springs,liguria,male,healing and soothing,hot springs,hot spring,blue,"healing, purification",,,,,,,
ligurian,bormus,god,god of the north wind,liguria,male,brisk and refreshing,north wind,wind symbol,white,"refreshing breeze, air movement",,,,,,,
turkish,bozkırın yeli,god,wind of the steppe,turkish regions,other,gentle and free-spirited,"wind, breeze","wind, breeze",green,"freedom, nature",,,,,,,
norse,bragi,god,god of poetry and music,asgard,male,artistic and wise,"poetry, music",harp,yellow,"art, wisdom",,gunnlod,,,,,
hindu,brahma,god,creator god,cosmic realm,male,creative and nurturing,"creation and inspiration,","ankh, djed pillar,","gold, black","creativity, nurturing",married,saraswati,brahma,"saraswati, lakshmi","many, including manu, daksha",,
celtic,brigid,god,goddess of poetry healing and smithcraft,"magical realm, europe",female,poetic and nurturing,nature and fertility,"antlers, torc, flame, anvil","gold, green","nature, fertility, poetry, healing, creativity",married,boann,dagda,danu,"many, including the tuatha dé danann",,
scottish/irish,brigit,god,"goddess of poetry, healing, and smithcraft",ireland,female,creative and nurturing,"poetry, healing, smithcraft","flame, anvil","green, red","poetry, healing, smithcraft",,danu,the dagda,,"ruadan, bres, ogma",,
buddhist,buddha,god,enlightened teacher,earth,other,wise teacher,"enlightenment, compassion","bodhi tree, dharma wheel",gold,"wisdom, compassion",,queen maya,king suddhodana,,rahula,,
aboriginal,bunjil,anthropomorphism,"eaglehawk creator being, associated with sky",sky,other,wise and protective,"sky, protection","eaglehawk, sky",various,"wisdom, protection",,,,,various sky-related beings,,
mongolian,burkhan garal,god,god of mountains and the hunt,mountains,male,strong and hunter,"mountains, hunting","mountain peaks, bow",brown,"strength, hunting",,earth,sky,,,,
scottish/irish,cailleach,god,goddess of winter and sovereignty,ireland,female,winter and sovereignty,"winter, land","staff, winter gear","blue, grey","winter, sovereignty",,,,,,,
vietnamese,cao lỗ,god,god of the hearth and domestic fire,hearth,male,nurturing and protective,"hearth, domestic fire",ancestral symbols,red,"home, protection",,,,,,,
ligurian,cebenna,god,goddess of mountains,liguria,female,mighty and protective,mountains,mountain peaks,brown,"mountains, protection",,,,,,,
toltec,centeotl,god,god of maize,mesoamerica,male,maize god,"maize, agriculture",maize symbols,yellow,"maize, agriculture",,,,,,,
roman,ceres,god,goddess of agriculture,rome,female,nurturing and abundant,"agriculture, harvest",sheaf of wheat,green,"agriculture, harvest",,saturn,ops,,proserpina,,
celtic,cernunnos,god,horned god,magical realm,male,wild and free,wilderness and animals,"bull horn, star","gold, brown","wilderness, animals",married,"danu,",cernunnos,anu,"enlil, ninurta",,
maya,chaac,god,god of rain,mesoamerica,male,rain-bringer and fierce,"rain, agriculture","serpent, water lily",blue,"rain, agriculture",,,,,,,
toltec,chalchiuhtlicue,god,goddess of water,mesoamerica,female,goddess of streams,"water, streams, aquatic life","jade skirt, water symbols",blue,"water, streams",,coatlicue,mixcoatl,,"tlaloc, huitzilopochtli",,
aztec,chalchiuhtlicue,god,goddess of water and rivers,aztec,female,water goddess,"water, fertility","jade, fish",blue,"water, fertility",,coatlicue,mixcoatl,,"tlaloc, huitzilopochtli",,
chinese,chang'e,god,moon goddess,moon,female,graceful and lonely,"moon, elegance","moon, rabbit",silver,"grace, loneliness",,,,,,,
navajo,changing woman,god,goddess of fertility and life,navajo nation,female,fertility goddess,"fertility, life, changing seasons","corn, matrilineal symbols","yellow, green","fertility, life",,,,,twins (monster slayer and born-for-water),,
yoruba,chango,god,"god of thunder, dance, and fire",yoruba lands,male,"dynamic, energetic","thunder, dance","double-headed axe, fire","red, white","energy, passion",married,yemoja,olorun,oshun,"oya, ogun",,
greek,chaos,god,primordial deity representing the void,greece,other,formless essence,"void, formlessness, primordial chaos",formless abyss,black,"formlessness, origin, unbounded potential",,,,,various primordial beings,,
greek,charon,god,ferryman of the underworld,greek underworld,male,deity,"transporter of souls, psychopomp","boat, oar",,transporter of souls,,,,,,,
korean,cheonjiwang,god,king of the heavens,sky,other,majestic and wise,"rulership, order",heavenly throne,blue,"rulership, order",,,,,,,
slavic,chernobog,god,god of darkness,slavic regions,male,god,"darkness, evil",black,black,darkness,,,,,,,
chinese,chi you,god,god of war and victory,earth,male,courageous and skilled in battle,"war, victory","halberd, metal armor",red,"courage, victory",,,,,,,
muisca,chibchacum,god,creator god,muisca confederation,male,god,"creation, agriculture","mountains, fields",,"creation, agriculture",,,,,,,
